date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:42:26	1607/1607	---MCZ	200	added ('OK')	text/html	etag:W/%229ac0b507a60245c2e75adca4bded4762%22	https://blox-gift.vercel.app/robots.txt		(from )
14:42:26	5394/5394	---MCZ	200	added ('OK')	text/html	etag:W/%221512-1668f272800%22	https://blox-gift.vercel.app/	C:/My%20Web%20Sites/blox-gifts/blox-gift.vercel.app/index.html	(from )
14:42:26	439/439	---M--	200	added ('OK')	application/manifest+json	etag:%22ee403cb169448a6ca6daa21daf816739%22	https://blox-gift.vercel.app/site.webmanifest	C:/My%20Web%20Sites/blox-gifts/blox-gift.vercel.app/site.webmanifest	(from https://blox-gift.vercel.app/)
14:42:27	5394/5394	---MCZ	200	added ('OK')	text/html	etag:W/%229ac0b507a60245c2e75adca4bded4762%22	https://blox-gift.vercel.app/favicon-96x96.png	C:/My%20Web%20Sites/blox-gifts/blox-gift.vercel.app/index-2.html	(from https://blox-gift.vercel.app/)
14:42:28	15086/15086	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%220dfc421a4bf734babeba3d36f762b58b%22	https://blox-gift.vercel.app/favicon.ico	C:/My%20Web%20Sites/blox-gifts/blox-gift.vercel.app/favicon.ico	(from https://blox-gift.vercel.app/)
14:42:28	5394/5394	---MCZ	200	added ('OK')	text/html	etag:W/%229ac0b507a60245c2e75adca4bded4762%22	https://blox-gift.vercel.app/apple-touch-icon.png	C:/My%20Web%20Sites/blox-gifts/blox-gift.vercel.app/index-3.html	(from https://blox-gift.vercel.app/)
14:42:29	0/0	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Aug%202026%2011:42:29%20GMT	https://blox.gifts/og-image.png	C:/My%20Web%20Sites/blox-gifts/blox.gifts/og-image.4.delayed	(from https://blox-gift.vercel.app/)
14:42:29	4717/4717	---MCZ	200	added ('OK')	application/javascript	etag:W/%224059de88a81ebfbb3146b6dec956278e%22	https://cloud.umami.is/script.js	C:/My%20Web%20Sites/blox-gifts/cloud.umami.is/script.js	(from https://blox-gift.vercel.app/)
14:42:30	80599/80599	---MCZ	200	added ('OK')	application/javascript	etag:W/%2235294e94d92af3ee30db37ae401141b2%22	https://blox-gift.vercel.app/cdc03e.js	C:/My%20Web%20Sites/blox-gifts/blox-gift.vercel.app/cdc03e.js	(from https://blox-gift.vercel.app/)
14:42:31	49310/49310	---MCZ	200	added ('OK')	text/css	etag:W/%2272f323e8ee56e85b196a2eca3768fee2%22	https://blox-gift.vercel.app/5aee6c.css	C:/My%20Web%20Sites/blox-gifts/blox-gift.vercel.app/5aee6c.css	(from https://blox-gift.vercel.app/)
14:42:31	5394/5394	---MCZ	200	added ('OK')	text/html	etag:W/%229ac0b507a60245c2e75adca4bded4762%22	https://blox-gift.vercel.app/flags/xx.svg	C:/My%20Web%20Sites/blox-gifts/blox-gift.vercel.app/flags/index.html	(from https://blox-gift.vercel.app/5aee6c.css)
14:42:32	5394/5394	---MCZ	200	added ('OK')	text/html	etag:W/%229ac0b507a60245c2e75adca4bded4762%22	https://blox-gift.vercel.app/flags/ad.svg	C:/My%20Web%20Sites/blox-gifts/blox-gift.vercel.app/flags/index-2.html	(from https://blox-gift.vercel.app/5aee6c.css)
14:42:32	5394/5394	---MCZ	200	added ('OK')	text/html	etag:W/%229ac0b507a60245c2e75adca4bded4762%22	https://blox-gift.vercel.app/flags/ae.svg	C:/My%20Web%20Sites/blox-gifts/blox-gift.vercel.app/flags/index-3.html	(from https://blox-gift.vercel.app/5aee6c.css)
14:42:32	5394/5394	---MCZ	200	added ('OK')	text/html	etag:W/%229ac0b507a60245c2e75adca4bded4762%22	https://blox-gift.vercel.app/flags/af.svg	C:/My%20Web%20Sites/blox-gifts/blox-gift.vercel.app/flags/index-4.html	(from https://blox-gift.vercel.app/5aee6c.css)
14:42:33	5394/5394	---MCZ	200	added ('OK')	text/html	etag:W/%229ac0b507a60245c2e75adca4bded4762%22	https://blox-gift.vercel.app/flags/ag.svg	C:/My%20Web%20Sites/blox-gifts/blox-gift.vercel.app/flags/index-5.html	(from https://blox-gift.vercel.app/5aee6c.css)
14:42:34	5394/5394	---MCZ	200	added ('OK')	text/html	etag:W/%229ac0b507a60245c2e75adca4bded4762%22	https://blox-gift.vercel.app/flags/ai.svg	C:/My%20Web%20Sites/blox-gifts/blox-gift.vercel.app/flags/index-6.html	(from https://blox-gift.vercel.app/5aee6c.css)
14:42:34	5394/5394	---MCZ	200	added ('OK')	text/html	etag:W/%229ac0b507a60245c2e75adca4bded4762%22	https://blox-gift.vercel.app/flags/al.svg	C:/My%20Web%20Sites/blox-gifts/blox-gift.vercel.app/flags/index-7.html	(from https://blox-gift.vercel.app/5aee6c.css)
14:42:34	5394/5394	---MCZ	200	added ('OK')	text/html	etag:W/%229ac0b507a60245c2e75adca4bded4762%22	https://blox-gift.vercel.app/flags/am.svg	C:/My%20Web%20Sites/blox-gifts/blox-gift.vercel.app/flags/index-8.html	(from https://blox-gift.vercel.app/5aee6c.css)
14:42:35	5394/5394	---MCZ	200	added ('OK')	text/html	etag:W/%229ac0b507a60245c2e75adca4bded4762%22	https://blox-gift.vercel.app/flags/ao.svg	C:/My%20Web%20Sites/blox-gifts/blox-gift.vercel.app/flags/index-9.html	(from https://blox-gift.vercel.app/5aee6c.css)
14:42:36	5394/5394	---MCZ	200	added ('OK')	text/html	etag:W/%229ac0b507a60245c2e75adca4bded4762%22	https://blox-gift.vercel.app/flags/aq.svg	C:/My%20Web%20Sites/blox-gifts/blox-gift.vercel.app/flags/index-10.html	(from https://blox-gift.vercel.app/5aee6c.css)
